iter	Logloss
0	0.6217456852
1	0.5553786697
2	0.4975000964
3	0.4476125615
4	0.4017824716
5	0.3621201089
6	0.3263608036
7	0.2949856364
8	0.2678124731
9	0.2440985743
10	0.2235844935
11	0.2058775264
12	0.1896758998
13	0.1766608333
14	0.164818111
15	0.1535686007
16	0.1438625887
17	0.1354229171
18	0.1274371696
19	0.1202110816
20	0.1134696647
21	0.1082213366
22	0.1035629541
23	0.09922764424
24	0.09547767678
25	0.09154592746
26	0.08805406833
27	0.08537431776
28	0.08268452117
29	0.07982483523
30	0.07765172851
31	0.07556461853
32	0.0736511666
33	0.07177787865
34	0.07009383045
35	0.06846184243
36	0.06715758275
37	0.06570092391
38	0.06455419731
39	0.0633389251
40	0.06208730114
41	0.06130941051
42	0.06038133284
43	0.05941535374
44	0.05840924501
45	0.05767683517
46	0.0568800165
47	0.05611879791
48	0.05535866667
49	0.0546438874
50	0.05404271655
51	0.05337969674
52	0.05267157239
53	0.05205727337
54	0.05158934835
55	0.05110651987
56	0.05052236618
57	0.04998699174
58	0.04952715805
59	0.0490718451
60	0.04869366134
61	0.04829464616
62	0.04793894745
63	0.04733172185
64	0.04695090113
65	0.04657666021
66	0.04626201133
67	0.04574476952
68	0.04545137651
69	0.04503544605
70	0.04468149222
71	0.04422548303
72	0.0438337038
73	0.04351332815
74	0.04320697927
75	0.04294518518
76	0.04261730691
77	0.0423392151
78	0.04209861559
79	0.04174151523
80	0.04150005972
81	0.04122646803
82	0.04096275344
83	0.04072974354
84	0.04044371074
85	0.0401729058
86	0.0399483707
87	0.03975658725
88	0.03951023951
89	0.03928750643
90	0.03902283973
91	0.0387985741
92	0.03859915336
93	0.03837206163
94	0.0380954129
95	0.03792890013
96	0.03769278181
97	0.03748636736
98	0.03734379549
99	0.03714979755
100	0.03699796024
101	0.03682403859
102	0.03661942921
103	0.03640937803
104	0.03626981926
105	0.03608133414
106	0.03588730783
107	0.03573476943
108	0.03551656984
109	0.03541431857
110	0.03518552226
111	0.03501437496
112	0.03481423075
113	0.0347306406
114	0.03451950669
115	0.03442008473
116	0.03429422106
117	0.03416212847
118	0.03400061095
119	0.03384593129
120	0.03372642858
121	0.03361135364
122	0.03344816569
123	0.03322768168
124	0.0330786538
125	0.03296480685
126	0.03284806026
127	0.03273725619
128	0.03263612124
129	0.03251070066
130	0.03238849349
131	0.03221027201
132	0.03203529937
133	0.03193832957
134	0.031816949
135	0.03172521996
136	0.0315958197
137	0.03149869042
138	0.03131374895
139	0.03119706887
140	0.03104755375
141	0.03091636069
142	0.03080697723
143	0.03071651466
144	0.03061520982
145	0.03047135689
146	0.03033493134
147	0.03026760722
148	0.03015875114
149	0.03005110011
150	0.02991686095
151	0.02984753922
152	0.02975910525
153	0.02962921447
154	0.02953409723
155	0.0294354136
156	0.02934030755
157	0.02927642065
158	0.02916485591
159	0.02906973293
160	0.02897239041
161	0.02888360017
162	0.02880240238
163	0.0287042073
164	0.02863230724
165	0.02855914511
166	0.02847252578
167	0.02840419101
168	0.02834671903
169	0.02823695462
170	0.02811303079
171	0.02801173782
172	0.02787018249
173	0.02774596635
